日期,景点,省份,市,客流指数
2022-1-12,东北虎林园,黑龙江省,哈尔滨市,0.24
2022-1-12,萧红故居,黑龙江省,哈尔滨市,0.17
2022-1-12,北方森林动物园,黑龙江省,哈尔滨市,0.17
2022-1-12,哈尔滨伏尔加庄园,黑龙江省,哈尔滨市,0.13
2022-1-12,香炉山国家森林公园,黑龙江省,哈尔滨市,0.02
2022-1-13,中华巴洛克,黑龙江省,哈尔滨市,1.99
2022-1-13,斯大林公园,黑龙江省,哈尔滨市,1.55
2022-1-13,儿童公园,黑龙江省,哈尔滨市,1.36
2022-1-13,金龙山国际旅游度假区,黑龙江省,哈尔滨市,1.35
2022-1-13,圣索菲亚教堂,黑龙江省,哈尔滨市,0.87
2022-1-13,龙塔,黑龙江省,哈尔滨市,0.78
2022-1-13,哈尔滨市人民防洪胜利纪念塔,黑龙江省,哈尔滨市,0.63
2022-1-13,二龙山风景区,黑龙江省,哈尔滨市,0.6
2022-1-13,群力丁香公园,黑龙江省,哈尔滨市,0.56
2022-1-13,哈尔滨文化公园,黑龙江省,哈尔滨市,0.53
2022-1-13,黑龙江省博物馆,黑龙江省,哈尔滨市,0.51
2022-1-13,古梨园,黑龙江省,哈尔滨市,0.34
2022-1-13,侵华日军第七三一部队遗址,黑龙江省,哈尔滨市,0.33
2022-1-13,波塞冬旅游度假区,黑龙江省,哈尔滨市,0.31
2022-1-13,哈尔滨极地馆,黑龙江省,哈尔滨市,0.26
2022-1-13,东北虎林园,黑龙江省,哈尔滨市,0.25
2022-1-13,北方森林动物园,黑龙江省,哈尔滨市,0.19
2022-1-13,哈尔滨伏尔加庄园,黑龙江省,哈尔滨市,0.16
2022-1-13,萧红故居,黑龙江省,哈尔滨市,0.16
2022-1-13,香炉山国家森林公园,黑龙江省,哈尔滨市,0.01
2022-1-14,中华巴洛克,黑龙江省,哈尔滨市,2.01
2022-1-14,斯大林公园,黑龙江省,哈尔滨市,1.87
2022-1-14,儿童公园,黑龙江省,哈尔滨市,1.38
2022-1-14,金龙山国际旅游度假区,黑龙江省,哈尔滨市,1.26
2022-1-14,圣索菲亚教堂,黑龙江省,哈尔滨市,0.91
2022-1-14,龙塔,黑龙江省,哈尔滨市,0.88
2022-1-14,哈尔滨市人民防洪胜利纪念塔,黑龙江省,哈尔滨市,0.83
2022-1-14,二龙山风景区,黑龙江省,哈尔滨市,0.64
2022-1-14,群力丁香公园,黑龙江省,哈尔滨市,0.57
2022-1-14,黑龙江省博物馆,黑龙江省,哈尔滨市,0.52
2022-1-14,哈尔滨文化公园,黑龙江省,哈尔滨市,0.49
2022-1-14,古梨园,黑龙江省,哈尔滨市,0.37
2022-1-14,波塞冬旅游度假区,黑龙江省,哈尔滨市,0.36
2022-1-14,侵华日军第七三一部队遗址,黑龙江省,哈尔滨市,0.35
2022-1-14,哈尔滨极地馆,黑龙江省,哈尔滨市,0.27
2022-1-14,东北虎林园,黑龙江省,哈尔滨市,0.23
2022-1-14,哈尔滨伏尔加庄园,黑龙江省,哈尔滨市,0.19
2022-1-14,北方森林动物园,黑龙江省,哈尔滨市,0.18
2022-1-14,萧红故居,黑龙江省,哈尔滨市,0.17
2022-1-14,香炉山国家森林公园,黑龙江省,哈尔滨市,0.01
2022-1-15,斯大林公园,黑龙江省,哈尔滨市,2.38
2022-1-15,中华巴洛克,黑龙江省,哈尔滨市,2.19
2022-1-15,金龙山国际旅游度假区,黑龙江省,哈尔滨市,1.4
2022-1-15,儿童公园,黑龙江省,哈尔滨市,1.34
2022-1-15,哈尔滨市人民防洪胜利纪念塔,黑龙江省,哈尔滨市,1.16
2022-1-15,圣索菲亚教堂,黑龙江省,哈尔滨市,1.13
2022-1-15,二龙山风景区,黑龙江省,哈尔滨市,0.69
2022-1-15,哈尔滨文化公园,黑龙江省,哈尔滨市,0.66
2022-1-15,群力丁香公园,黑龙江省,哈尔滨市,0.62
2022-1-15,龙塔,黑龙江省,哈尔滨市,0.61
2022-1-15,黑龙江省博物馆,黑龙江省,哈尔滨市,0.49
2022-1-15,哈尔滨极地馆,黑龙江省,哈尔滨市,0.46
2022-1-15,波塞冬旅游度假区,黑龙江省,哈尔滨市,0.35
2022-1-15,古梨园,黑龙江省,哈尔滨市,0.33
2022-1-15,侵华日军第七三一部队遗址,黑龙江省,哈尔滨市,0.31
2022-1-15,东北虎林园,黑龙江省,哈尔滨市,0.29
2022-1-15,哈尔滨伏尔加庄园,黑龙江省,哈尔滨市,0.22
2022-1-15,北方森林动物园,黑龙江省,哈尔滨市,0.18
2022-1-15,萧红故居,黑龙江省,哈尔滨市,0.16
2022-1-15,香炉山国家森林公园,黑龙江省,哈尔滨市,0.01
2022-1-16,斯大林公园,黑龙江省,哈尔滨市,2.17
2022-1-16,中华巴洛克,黑龙江省,哈尔滨市,2
2022-1-16,金龙山国际旅游度假区,黑龙江省,哈尔滨市,1.38
2022-1-16,儿童公园,黑龙江省,哈尔滨市,1.27
2022-1-16,哈尔滨市人民防洪胜利纪念塔,黑龙江省,哈尔滨市,1.09
2022-1-16,圣索菲亚教堂,黑龙江省,哈尔滨市,1.07
2022-1-16,哈尔滨文化公园,黑龙江省,哈尔滨市,0.65
2022-1-16,二龙山风景区,黑龙江省,哈尔滨市,0.65
2022-1-16,龙塔,黑龙江省,哈尔滨市,0.54
2022-1-16,群力丁香公园,黑龙江省,哈尔滨市,0.53
2022-1-16,黑龙江省博物馆,黑龙江省,哈尔滨市,0.49
2022-1-16,哈尔滨极地馆,黑龙江省,哈尔滨市,0.46
2022-1-16,古梨园,黑龙江省,哈尔滨市,0.34
2022-1-16,波塞冬旅游度假区,黑龙江省,哈尔滨市,0.34
2022-1-16,侵华日军第七三一部队遗址,黑龙江省,哈尔滨市,0.32
2022-1-16,东北虎林园,黑龙江省,哈尔滨市,0.3
2022-1-16,哈尔滨伏尔加庄园,黑龙江省,哈尔滨市,0.22
2022-1-16,萧红故居,黑龙江省,哈尔滨市,0.15
2022-1-16,北方森林动物园,黑龙江省,哈尔滨市,0.14
2022-1-16,香炉山国家森林公园,黑龙江省,哈尔滨市,0.02
2022-1-17,中华巴洛克,黑龙江省,哈尔滨市,1.91
2022-1-17,斯大林公园,黑龙江省,哈尔滨市,1.47
2022-1-17,金龙山国际旅游度假区,黑龙江省,哈尔滨市,1.35
2022-1-17,儿童公园,黑龙江省,哈尔滨市,1.3
2022-1-17,圣索菲亚教堂,黑龙江省,哈尔滨市,0.96
2022-1-17,龙塔,黑龙江省,哈尔滨市,0.89
2022-1-17,哈尔滨文化公园,黑龙江省,哈尔滨市,0.76
2022-1-17,二龙山风景区,黑龙江省,哈尔滨市,0.61
2022-1-17,哈尔滨市人民防洪胜利纪念塔,黑龙江省,哈尔滨市,0.61
2022-1-17,群力丁香公园,黑龙江省,哈尔滨市,0.57
2022-1-17,黑龙江省博物馆,黑龙江省,哈尔滨市,0.47
2022-1-17,古梨园,黑龙江省,哈尔滨市,0.36
2022-1-17,侵华日军第七三一部队遗址,黑龙江省,哈尔滨市,0.34
2022-1-17,波塞冬旅游度假区,黑龙江省,哈尔滨市,0.32
2022-1-17,哈尔滨极地馆,黑龙江省,哈尔滨市,0.31
2022-1-17,东北虎林园,黑龙江省,哈尔滨市,0.24
2022-1-17,北方森林动物园,黑龙江省,哈尔滨市,0.18
2022-1-17,哈尔滨伏尔加庄园,黑龙江省,哈尔滨市,0.16
2022-1-17,萧红故居,黑龙江省,哈尔滨市,0.15
2022-1-17,香炉山国家森林公园,黑龙江省,哈尔滨市,0.03
2022-1-18,中华巴洛克,黑龙江省,哈尔滨市,1.88
2022-1-18,斯大林公园,黑龙江省,哈尔滨市,1.55
2022-1-18,金龙山国际旅游度假区,黑龙江省,哈尔滨市,1.36
2022-1-18,儿童公园,黑龙江省,哈尔滨市,1.34
2022-1-18,圣索菲亚教堂,黑龙江省,哈尔滨市,0.97
2022-1-18,龙塔,黑龙江省,哈尔滨市,0.78
2022-1-18,二龙山风景区,黑龙江省,哈尔滨市,0.66
2022-1-18,哈尔滨市人民防洪胜利纪念塔,黑龙江省,哈尔滨市,0.64
2022-1-18,群力丁香公园,黑龙江省,哈尔滨市,0.54
2022-1-18,哈尔滨文化公园,黑龙江省,哈尔滨市,0.52
2022-1-18,黑龙江省博物馆,黑龙江省,哈尔滨市,0.52
2022-1-18,古梨园,黑龙江省,哈尔滨市,0.34
2022-1-18,侵华日军第七三一部队遗址,黑龙江省,哈尔滨市,0.34
2022-1-18,波塞冬旅游度假区,黑龙江省,哈尔滨市,0.32
2022-1-18,哈尔滨极地馆,黑龙江省,哈尔滨市,0.25
2022-1-18,东北虎林园,黑龙江省,哈尔滨市,0.24
2022-1-18,哈尔滨伏尔加庄园,黑龙江省,哈尔滨市,0.17
2022-1-18,北方森林动物园,黑龙江省,哈尔滨市,0.17
2022-1-18,萧红故居,黑龙江省,哈尔滨市,0.16
2022-1-18,香炉山国家森林公园,黑龙江省,哈尔滨市,0.05
2022-1-19,中华巴洛克,黑龙江省,哈尔滨市,1.87
2022-1-19,斯大林公园,黑龙江省,哈尔滨市,1.48
2022-1-19,金龙山国际旅游度假区,黑龙江省,哈尔滨市,1.38
2022-1-19,儿童公园,黑龙江省,哈尔滨市,1.31
2022-1-19,圣索菲亚教堂,黑龙江省,哈尔滨市,1.03
2022-1-19,龙塔,黑龙江省,哈尔滨市,0.78
2022-1-19,二龙山风景区,黑龙江省,哈尔滨市,0.64
2022-1-19,哈尔滨市人民防洪胜利纪念塔,黑龙江省,哈尔滨市,0.62
2022-1-19,哈尔滨文化公园,黑龙江省,哈尔滨市,0.57
2022-1-19,群力丁香公园,黑龙江省,哈尔滨市,0.55
2022-1-19,黑龙江省博物馆,黑龙江省,哈尔滨市,0.52
2022-1-19,侵华日军第七三一部队遗址,黑龙江省,哈尔滨市,0.38
2022-1-19,古梨园,黑龙江省,哈尔滨市,0.35
2022-1-19,波塞冬旅游度假区,黑龙江省,哈尔滨市,0.33
2022-1-19,哈尔滨极地馆,黑龙江省,哈尔滨市,0.24
2022-1-19,东北虎林园,黑龙江省,哈尔滨市,0.2
2022-1-19,哈尔滨伏尔加庄园,黑龙江省,哈尔滨市,0.2
2022-1-19,北方森林动物园,黑龙江省,哈尔滨市,0.17
2022-1-19,萧红故居,黑龙江省,哈尔滨市,0.17
2022-1-19,香炉山国家森林公园,黑龙江省,哈尔滨市,0.05
2022-1-20,中华巴洛克,黑龙江省,哈尔滨市,1.87
2022-1-20,斯大林公园,黑龙江省,哈尔滨市,1.53
2022-1-20,金龙山国际旅游度假区,黑龙江省,哈尔滨市,1.42
2022-1-20,儿童公园,黑龙江省,哈尔滨市,1.32
2022-1-20,圣索菲亚教堂,黑龙江省,哈尔滨市,1.02
2022-1-20,龙塔,黑龙江省,哈尔滨市,0.79
